"id","Reference","bindingType","partStatus","securityLabel","shrinkwrap","threeHoleDrill","perf","productionPage","thickness","height","width","weight","textPaperType","coverFinishType","textColor","siren","quantity"
"null","JOU-0XX-7CSS-MJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","0","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"null","JOU-0XX-7CSS-MWJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","0","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"null","JOU-0XX-7CSS-MMJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","64","0.0","11.0","8.5","0.0","60lb (24lb Bond)","Durable Color Cover","null","null","10"
"null","JOU-0XX-7CSS-MPWJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","0","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"JOU-0XX-7CSS-WJ-[10-Pack]-PJX","JOU-0XX-7CSS-WJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","0","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"null","JOU-064-7CSS-MPWJ_[10 Pack]-PJX","Saddle-Stitched","null","false","false","false","null","0","0.24","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"JOU-064-7CSS-RRJ-[10 Pack]-PJX","JOU-0XX-7CSS-RRJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","64","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"JOU-032-7CSS-MPRRJ-[10 Pack]-PJX","JOU-0XX-7CSS-MPRRJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","32","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"JOU-064-7CSS-MRRJ-[10 Pack]-PJX","JOU-0XX-7CSS-MRRJ-[10-Pack]-PJX","Saddle-Stitched","null","false","false","false","null","0","0.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"null","JOU-064-7CSS-MDJ-(10-Pack)-PJX","Saddle-Stitched","null","false","false","false","null","0","0.0","11.0","8.5","0.0","60lb (24lb Bond)","Durable Color Cover","null","null","10"
"null","BookFactory Elementary School My Drawing Journal / Classroom Art Book (K-6th Grade) - 10 Pack","Saddle-Stitched","null","false","false","false","null","0","60.0","11.0","8.5","0.0","60lb (24lb Bond)"," archival quality paper","Durable Color Cover","null","null","10"
"null","JOU-7CSS-(K-1-Variety-Pack)-PJX","null","null","false","false","false","null","0","0.0","0.0","0.0","0.0","null","null","null","null","0"
"null","JOU-7CSS-(Grades 1-2-Variety-Pack)-PJX","null","null","false","false","false","null","0","0.0","0.0","0.0","0.0","null","null","null","null","0"
"null","JOU-7CSS-(Grades 3-6 Variety-Pack)-PJX","null","null","false","false","false","null","0","0.0","0.0","0.0","0.0","null","null","null","null","0"
